"Subject" "Activity" "Metric" "Average"
1 "STANDING" "tBodyAccJerkMag-std()" -0.993096209433962
1 "STANDING" "tBodyGyroMag-std()" -0.978690028679245
1 "STANDING" "tBodyGyroJerkMag-std()" -0.994733238679245
1 "STANDING" "fBodyAcc-std()-X" -0.99602834509434
1 "STANDING" "fBodyAcc-std()-Y" -0.972293102075472
1 "STANDING" "fBodyAcc-std()-Z" -0.977937259622642
1 "STANDING" "fBodyAccJerk-std()-X" -0.995073759245283
1 "STANDING" "fBodyAccJerk-std()-Y" -0.987018226792453
1 "STANDING" "fBodyAccJerk-std()-Z" -0.992349818113208
1 "STANDING" "fBodyGyro-std()-X" -0.987497128679245
1 "STANDING" "fBodyGyro-std()-Y" -0.987107727735849
1 "STANDING" "fBodyGyro-std()-Z" -0.98234533
1 "STANDING" "fBodyAccMag-std()" -0.982313804716981
1 "STANDING" "fBodyBodyAccJerkMag-std()" -0.992536003396226
1 "STANDING" "fBodyBodyGyroMag-std()" -0.978466072075472
1 "STANDING" "fBodyBodyGyroJerkMag-std()" -0.994671123207547
3 "STANDING" "tBodyAcc-mean()-X" 0.280046513278689
3 "STANDING" "tBodyAcc-mean()-Y" -0.0143376555065574
3 "STANDING" "tBodyAcc-mean()-Z" -0.101621722633148
3 "STANDING" "tGravityAcc-mean()-X" 0.93503077852459
3 "STANDING" "tGravityAcc-mean()-Y" -0.301735130327869
3 "STANDING" "tGravityAcc-mean()-Z" 0.024763106752459
3 "STANDING" "tBodyAccJerk-mean()-X" 0.0750900622277049
3 "STANDING" "tBodyAccJerk-mean()-Y" 0.00771663644590164
3 "STANDING" "tBodyAccJerk-mean()-Z" -0.00807177934114754
3 "STANDING" "tBodyGyro-mean()-X" -0.0246626070770492
3 "STANDING" "tBodyGyro-mean()-Y" -0.0585101918262295
3 "STANDING" "tBodyGyro-mean()-Z" 0.0665262054098361
3 "STANDING" "tBodyGyroJerk-mean()-X" -0.0994602620655738
3 "STANDING" "tBodyGyroJerk-mean()-Y" -0.0472415819016393
3 "STANDING" "tBodyGyroJerk-mean()-Z" -0.0416832156688525
3 "STANDING" "tBodyAccMag-mean()" -0.925430819016393
3 "STANDING" "tGravityAccMag-mean()" -0.925430819016393
3 "STANDING" "tBodyAccJerkMag-mean()" -0.959303840327869
3 "STANDING" "tBodyGyroMag-mean()" -0.892089349344262
3 "STANDING" "tBodyGyroJerkMag-mean()" -0.962339339672131
3 "STANDING" "fBodyAcc-mean()-X" -0.960123409508197
3 "STANDING" "fBodyAcc-mean()-Y" -0.908075353770492
3 "STANDING" "fBodyAcc-mean()-Z" -0.939507735245902
3 "STANDING" "fBodyAccJerk-mean()-X" -0.957666856721311
3 "STANDING" "fBodyAccJerk-mean()-Y" -0.943497973606557
3 "STANDING" "fBodyAccJerk-mean()-Z" -0.969174903442623
3 "STANDING" "fBodyGyro-mean()-X" -0.901282267540984
3 "STANDING" "fBodyGyro-mean()-Y" -0.937711157213115
3 "STANDING" "fBodyGyro-mean()-Z" -0.916172537704918
3 "STANDING" "fBodyAccMag-mean()" -0.926968932295082
3 "STANDING" "fBodyBodyAccJerkMag-mean()" -0.948627467704918
3 "STANDING" "fBodyBodyGyroMag-mean()" -0.913682362622951
3 "STANDING" "fBodyBodyGyroJerkMag-mean()" -0.960331717868852
3 "STANDING" "tBodyAcc-std()-X" -0.96674254295082
3 "STANDING" "tBodyAcc-std()-Y" -0.893449307213115
3 "STANDING" "tBodyAcc-std()-Z" -0.911419015081967
3 "STANDING" "tGravityAcc-std()-X" -0.982020428032787
3 "STANDING" "tGravityAcc-std()-Y" -0.957425321803279
3 "STANDING" "tGravityAcc-std()-Z" -0.928161577377049
3 "STANDING" "tBodyAccJerk-std()-X" -0.957086489344262
3 "STANDING" "tBodyAccJerk-std()-Y" -0.941686785737705
3 "STANDING" "tBodyAccJerk-std()-Z" -0.973059634918033
3 "STANDING" "tBodyGyro-std()-X" -0.900462227540984
3 "STANDING" "tBodyGyro-std()-Y" -0.927788618196721
3 "STANDING" "tBodyGyro-std()-Z" -0.91236408147541
3 "STANDING" "tBodyGyroJerk-std()-X" -0.940937642459016
3 "STANDING" "tBodyGyroJerk-std()-Y" -0.968433747868853
3 "STANDING" "tBodyGyroJerk-std()-Z" -0.958293011803279
3 "STANDING" "tBodyAccMag-std()" -0.915143303606557
3 "STANDING" "tGravityAccMag-std()" -0.915143303606557
3 "STANDING" "tBodyAccJerkMag-std()" -0.948770043278689
3 "STANDING" "tBodyGyroMag-std()" -0.88212522147541
3 "STANDING" "tBodyGyroJerkMag-std()" -0.957679766885246
3 "STANDING" "fBodyAcc-std()-X" -0.969931287377049
3 "STANDING" "fBodyAcc-std()-Y" -0.89243434852459
3 "STANDING" "fBodyAcc-std()-Z" -0.904801254590164
3 "STANDING" "fBodyAccJerk-std()-X" -0.960570921803279
3 "STANDING" "fBodyAccJerk-std()-Y" -0.943948547213115
3 "STANDING" "fBodyAccJerk-std()-Z" -0.975595949508197
3 "STANDING" "fBodyGyro-std()-X" -0.901985672459016
3 "STANDING" "fBodyGyro-std()-Y" -0.923125941147541
3 "STANDING" "fBodyGyro-std()-Z" -0.919743846065574
3 "STANDING" "fBodyAccMag-std()" -0.921836076557377
3 "STANDING" "fBodyBodyAccJerkMag-std()" -0.94820681442623
3 "STANDING" "fBodyBodyGyroMag-std()" -0.883439718032787
3 "STANDING" "fBodyBodyGyroJerkMag-std()" -0.957121510491803
5 "STANDING" "tBodyAcc-mean()-X" 0.282544390892857
5 "STANDING" "tBodyAcc-mean()-Y" -0.00700418554517857
5 "STANDING" "tBodyAcc-mean()-Z" -0.102171095696429
5 "STANDING" "tGravityAcc-mean()-X" 0.960188699107143
5 "STANDING" "tGravityAcc-mean()-Y" -0.03871012665
5 "STANDING" "tGravityAcc-mean()-Z" 0.138638436607143
5 "STANDING" "tBodyAccJerk-mean()-X" 0.0725189859107143
5 "STANDING" "tBodyAccJerk-mean()-Y" -0.00221990214464286
5 "STANDING" "tBodyAccJerk-mean()-Z" -0.0122812220569643
5 "STANDING" "tBodyGyro-mean()-X" -0.0322711902673214
5 "STANDING" "tBodyGyro-mean()-Y" -0.050987505
5 "STANDING" "tBodyGyro-mean()-Z" 0.0690945763946429
5 "STANDING" "tBodyGyroJerk-mean()-X" -0.0922249863035714
5 "STANDING" "tBodyGyroJerk-mean()-Y" -0.0399108188821429
5 "STANDING" "tBodyGyroJerk-mean()-Z" -0.0422221341625
5 "STANDING" "tBodyAccMag-mean()" -0.906104701071429
5 "STANDING" "tGravityAccMag-mean()" -0.906104701071429
5 "STANDING" "tBodyAccJerkMag-mean()" -0.956863566071429
5 "STANDING" "tBodyGyroMag-mean()" -0.900671630714286
5 "STANDING" "tBodyGyroJerkMag-mean()" -0.958405900892857
5 "STANDING" "fBodyAcc-mean()-X" -0.964500917321429
5 "STANDING" "fBodyAcc-mean()-Y" -0.890796360535714
5 "STANDING" "fBodyAcc-mean()-Z" -0.915083799107143
5 "STANDING" "fBodyAccJerk-mean()-X" -0.963059235178571
5 "STANDING" "fBodyAccJerk-mean()-Y" -0.93137020875
5 "STANDING" "fBodyAccJerk-mean()-Z" -0.958438726607143
5 "STANDING" "fBodyGyro-mean()-X" -0.909661802321429
5 "STANDING" "fBodyGyro-mean()-Y" -0.939373524464286
5 "STANDING" "fBodyGyro-mean()-Z" -0.907190836607143
5 "STANDING" "fBodyAccMag-mean()" -0.9046413925
5 "STANDING" "fBodyBodyAccJerkMag-mean()" -0.941825903035714
5 "STANDING" "fBodyBodyGyroMag-mean()" -0.904543921607143
5 "STANDING" "fBodyBodyGyroJerkMag-mean()" -0.952286438035714
5 "STANDING" "tBodyAcc-std()-X" -0.968591815714286
5 "STANDING" "tBodyAcc-std()-Y" -0.869439913392857
5 "STANDING" "tBodyAcc-std()-Z" -0.869327321785714
5 "STANDING" "tGravityAcc-std()-X" -0.974088206071429
5 "STANDING" "tGravityAcc-std()-Y" -0.931973943392857
5 "STANDING" "tGravityAcc-std()-Z" -0.914608495714286
5 "STANDING" "tBodyAccJerk-std()-X" -0.962647080178571
5 "STANDING" "tBodyAccJerk-std()-Y" -0.931217140714286
5 "STANDING" "tBodyAccJerk-std()-Z" -0.963832118928571
5 "STANDING" "tBodyGyro-std()-X" -0.910395222321429
5 "STANDING" "tBodyGyro-std()-Y" -0.933738104107143
5 "STANDING" "tBodyGyro-std()-Z" -0.907471555714286
5 "STANDING" "tBodyGyroJerk-std()-X" -0.941930044107143
5 "STANDING" "tBodyGyroJerk-std()-Y" -0.961177741607143
5 "STANDING" "tBodyGyroJerk-std()-Z" -0.944755343035714
5 "STANDING" "tBodyAccMag-std()" -0.87977380125
5 "STANDING" "tGravityAccMag-std()" -0.87977380125
5 "STANDING" "tBodyAccJerkMag-std()" -0.942962047678571
5 "STANDING" "tBodyGyroMag-std()" -0.867041711785714
5 "STANDING" "tBodyGyroJerkMag-std()" -0.947970723571429
5 "STANDING" "fBodyAcc-std()-X" -0.97066840875
5 "STANDING" "fBodyAcc-std()-Y" -0.867933178017857
5 "STANDING" "fBodyAcc-std()-Z" -0.858231387857143
5 "STANDING" "fBodyAccJerk-std()-X" -0.965778920714286
5 "STANDING" "fBodyAccJerk-std()-Y" -0.936202600714286
5 "STANDING" "fBodyAccJerk-std()-Z" -0.96807230125
5 "STANDING" "fBodyGyro-std()-X" -0.912780915714286
5 "STANDING" "fBodyGyro-std()-Y" -0.931857811428571
5 "STANDING" "fBodyGyro-std()-Z" -0.91678935625
5 "STANDING" "fBodyAccMag-std()" -0.886745170714286
5 "STANDING" "fBodyBodyAccJerkMag-std()" -0.943601960178571
5 "STANDING" "fBodyBodyGyroMag-std()" -0.868913993928571
5 "STANDING" "fBodyBodyGyroJerkMag-std()" -0.946196462857143
6 "STANDING" "tBodyAcc-mean()-X" 0.280346248596491
6 "STANDING" "tBodyAcc-mean()-Y" -0.0181236327175439
6 "STANDING" "tBodyAcc-mean()-Z" -0.112172831947368
6 "STANDING" "tGravityAcc-mean()-X" 0.945139003859649
6 "STANDING" "tGravityAcc-mean()-Y" -0.230251036140351
6 "STANDING" "tGravityAcc-mean()-Z" 0.0139193473596491
6 "STANDING" "tBodyAccJerk-mean()-X" 0.0730699604561404
6 "STANDING" "tBodyAccJerk-mean()-Y" 0.00871883993421053
6 "STANDING" "tBodyAccJerk-mean()-Z" -0.00481712245438596
6 "STANDING" "tBodyGyro-mean()-X" -0.028251913022807
6 "STANDING" "tBodyGyro-mean()-Y" -0.0589823639438597
6 "STANDING" "tBodyGyro-mean()-Z" 0.0767394745964912
6 "STANDING" "tBodyGyroJerk-mean()-X" -0.103292534210526
6 "STANDING" "tBodyGyroJerk-mean()-Y" -0.0428828304736842
6 "STANDING" "tBodyGyroJerk-mean()-Z" -0.0506432189438596
6 "STANDING" "tBodyAccMag-mean()" -0.945022876491228
6 "STANDING" "tGravityAccMag-mean()" -0.945022876491228
6 "STANDING" "tBodyAccJerkMag-mean()" -0.967102436140351
6 "STANDING" "tBodyGyroMag-mean()" -0.939404744385965
6 "STANDING" "tBodyGyroJerkMag-mean()" -0.963406222982456
6 "STANDING" "fBodyAcc-mean()-X" -0.977100287368421
6 "STANDING" "fBodyAcc-mean()-Y" -0.930336471754386
6 "STANDING" "fBodyAcc-mean()-Z" -0.942864017017544
6 "STANDING" "fBodyAccJerk-mean()-X" -0.97348053877193
6 "STANDING" "fBodyAccJerk-mean()-Y" -0.951405464912281
6 "STANDING" "fBodyAccJerk-mean()-Z" -0.963743518070175
6 "STANDING" "fBodyGyro-mean()-X" -0.931612384385965
6 "STANDING" "fBodyGyro-mean()-Y" -0.943273146140351
6 "STANDING" "fBodyGyro-mean()-Z" -0.943239602105263
6 "STANDING" "fBodyAccMag-mean()" -0.945949804035088
6 "STANDING" "fBodyBodyAccJerkMag-mean()" -0.955914005438597
6 "STANDING" "fBodyBodyGyroMag-mean()" -0.926664297017544
6 "STANDING" "fBodyBodyGyroJerkMag-mean()" -0.955425138245614
6 "STANDING" "tBodyAcc-std()-X" -0.981758159649123
6 "STANDING" "tBodyAcc-std()-Y" -0.921493191754386
6 "STANDING" "tBodyAcc-std()-Z" -0.925692371929825
6 "STANDING" "tGravityAcc-std()-X" -0.985583066842105
6 "STANDING" "tGravityAcc-std()-Y" -0.96844910122807
6 "STANDING" "tGravityAcc-std()-Z" -0.942795062280702
6 "STANDING" "tBodyAccJerk-std()-X" -0.973132635789474
6 "STANDING" "tBodyAccJerk-std()-Y" -0.949362277017544
6 "STANDING" "tBodyAccJerk-std()-Z" -0.967547241754386
6 "STANDING" "tBodyGyro-std()-X" -0.947561298596491
6 "STANDING" "tBodyGyro-std()-Y" -0.94248658631579
6 "STANDING" "tBodyGyro-std()-Z" -0.947782155964912
6 "STANDING" "tBodyGyroJerk-std()-X" -0.946423593157895
6 "STANDING" "tBodyGyroJerk-std()-Y" -0.962422163684211
6 "STANDING" "tBodyGyroJerk-std()-Z" -0.962758177192982
6 "STANDING" "tBodyAccMag-std()" -0.939310249649123
6 "STANDING" "tGravityAccMag-std()" -0.939310249649123
6 "STANDING" "tBodyAccJerkMag-std()" -0.956099145964912
6 "STANDING" "tBodyGyroMag-std()" -0.915891572982456
6 "STANDING" "tBodyGyroJerkMag-std()" -0.952536233859649
6 "STANDING" "fBodyAcc-std()-X" -0.984067374035088
6 "STANDING" "fBodyAcc-std()-Y" -0.921449111052632
6 "STANDING" "fBodyAcc-std()-Z" -0.922067224210526
6 "STANDING" "fBodyAccJerk-std()-X" -0.975235677719298
6 "STANDING" "fBodyAccJerk-std()-Y" -0.950681450350877
6 "STANDING" "fBodyAccJerk-std()-Z" -0.969895845789474
6 "STANDING" "fBodyGyro-std()-X" -0.952817395263158
6 "STANDING" "fBodyGyro-std()-Y" -0.942539174210526
6 "STANDING" "fBodyGyro-std()-Z" -0.95445570245614
6 "STANDING" "fBodyAccMag-std()" -0.94456410754386
6 "STANDING" "fBodyBodyAccJerkMag-std()" -0.95538157877193
6 "STANDING" "fBodyBodyGyroMag-std()" -0.923108761578947
6 "STANDING" "fBodyBodyGyroJerkMag-std()" -0.952088499473684
7 "STANDING" "tBodyAcc-mean()-X" 0.282723539433962
7 "STANDING" "tBodyAcc-mean()-Y" -0.0145740341037736
7 "STANDING" "tBodyAcc-mean()-Z" -0.0997778303207547
7 "STANDING" "tGravityAcc-mean()-X" 0.958728687924528
7 "STANDING" "tGravityAcc-mean()-Y" -0.117607048924528
7 "STANDING" "tGravityAcc-mean()-Z" -0.0516573721320755
7 "STANDING" "tBodyAccJerk-mean()-X" 0.0751915112830189
7 "STANDING" "tBodyAccJerk-mean()-Y" 0.00694700354075472
7 "STANDING" "tBodyAccJerk-mean()-Z" -0.0108420294035849
7 "STANDING" "tBodyGyro-mean()-X" -0.0291582212545283
7 "STANDING" "tBodyGyro-mean()-Y" -0.0774336443396226
7 "STANDING" "tBodyGyro-mean()-Z" 0.0851045000566038
7 "STANDING" "tBodyGyroJerk-mean()-X" -0.0901539662169811
7 "STANDING" "tBodyGyroJerk-mean()-Y" -0.0412797611886792
7 "STANDING" "tBodyGyroJerk-mean()-Z" -0.0545390015471698
7 "STANDING" "tBodyAccMag-mean()" -0.942724659245283
7 "STANDING" "tGravityAccMag-mean()" -0.942724659245283
7 "STANDING" "tBodyAccJerkMag-mean()" -0.973381306226415
7 "STANDING" "tBodyGyroMag-mean()" -0.943425564528302
7 "STANDING" "tBodyGyroJerkMag-mean()" -0.977377083018868
7 "STANDING" "fBodyAcc-mean()-X" -0.976681834339623
7 "STANDING" "fBodyAcc-mean()-Y" -0.941883783773585
7 "STANDING" "fBodyAcc-mean()-Z" -0.938550519811321
7 "STANDING" "fBodyAccJerk-mean()-X" -0.976323086226415
7 "STANDING" "fBodyAccJerk-mean()-Y" -0.967165093018868
7 "STANDING" "fBodyAccJerk-mean()-Z" -0.968229643018868
7 "STANDING" "fBodyGyro-mean()-X" -0.938121637735849
7 "STANDING" "fBodyGyro-mean()-Y" -0.957548671320755
7 "STANDING" "fBodyGyro-mean()-Z" -0.957165056226415
7 "STANDING" "fBodyAccMag-mean()" -0.945611450377358
7 "STANDING" "fBodyBodyAccJerkMag-mean()" -0.967417888301887
7 "STANDING" "fBodyBodyGyroMag-mean()" -0.93870498490566
7 "STANDING" "fBodyBodyGyroJerkMag-mean()" -0.973671168679245
7 "STANDING" "tBodyAcc-std()-X" -0.979307570377358
7 "STANDING" "tBodyAcc-std()-Y" -0.923400921886792
7 "STANDING" "tBodyAcc-std()-Z" -0.917064168490566
7 "STANDING" "tGravityAcc-std()-X" -0.987917503962264
7 "STANDING" "tGravityAcc-std()-Y" -0.966162998679245
7 "STANDING" "tGravityAcc-std()-Z" -0.939161014716981
7 "STANDING" "tBodyAccJerk-std()-X" -0.976403544716981
7 "STANDING" "tBodyAccJerk-std()-Y" -0.965810609622642
7 "STANDING" "tBodyAccJerk-std()-Z" -0.972060053207547
7 "STANDING" "tBodyGyro-std()-X" -0.945247687358491
7 "STANDING" "tBodyGyro-std()-Y" -0.949646946792453
7 "STANDING" "tBodyGyro-std()-Z" -0.951630777358491
7 "STANDING" "tBodyGyroJerk-std()-X" -0.96598339754717
7 "STANDING" "tBodyGyroJerk-std()-Y" -0.976837757358491
7 "STANDING" "tBodyGyroJerk-std()-Z" -0.978166790943396
7 "STANDING" "tBodyAccMag-std()" -0.933590156792453
7 "STANDING" "tGravityAccMag-std()" -0.933590156792453
7 "STANDING" "tBodyAccJerkMag-std()" -0.968566356037736
7 "STANDING" "tBodyGyroMag-std()" -0.918438958867924
7 "STANDING" "tBodyGyroJerkMag-std()" -0.97210793
7 "STANDING" "fBodyAcc-std()-X" -0.980541336037736
7 "STANDING" "fBodyAcc-std()-Y" -0.919118753018868
7 "STANDING" "fBodyAcc-std()-Z" -0.912358813773585
7 "STANDING" "fBodyAccJerk-std()-X" -0.978729082830189
7 "STANDING" "fBodyAccJerk-std()-Y" -0.966850290188679
7 "STANDING" "fBodyAccJerk-std()-Z" -0.974533710754717
7 "STANDING" "fBodyGyro-std()-X" -0.947891986226415
7 "STANDING" "fBodyGyro-std()-Y" -0.945818157735849
7 "STANDING" "fBodyGyro-std()-Z" -0.954339406415094
7 "STANDING" "fBodyAccMag-std()" -0.93728796509434
7 "STANDING" "fBodyBodyAccJerkMag-std()" -0.969092161886792
7 "STANDING" "fBodyBodyGyroMag-std()" -0.919848139056604
7 "STANDING" "fBodyBodyGyroJerkMag-std()" -0.971899418301887
8 "STANDING" "tBodyAcc-mean()-X" 0.279620986111111
8 "STANDING" "tBodyAcc-mean()-Y" -0.0148113067148148
8 "STANDING" "tBodyAcc-mean()-Z" -0.106114996837037
8 "STANDING" "tGravityAcc-mean()-X" 0.957669921111111
8 "STANDING" "tGravityAcc-mean()-Y" -0.0904603488214815
8 "STANDING" "tGravityAcc-mean()-Z" -0.0979392024814815
8 "STANDING" "tBodyAccJerk-mean()-X" 0.0753739045185185
8 "STANDING" "tBodyAccJerk-mean()-Y" 0.00814951727462963
8 "STANDING" "tBodyAccJerk-mean()-Z" 0.00322153267648148
8 "STANDING" "tBodyGyro-mean()-X" -0.0219671978203704
8 "STANDING" "tBodyGyro-mean()-Y" -0.0280117633814815
8 "STANDING" "tBodyGyro-mean()-Z" 0.063688907
8 "STANDING" "tBodyGyroJerk-mean()-X" -0.097757576
8 "STANDING" "tBodyGyroJerk-mean()-Y" -0.0485190684259259
8 "STANDING" "tBodyGyroJerk-mean()-Z" -0.0478483225666667
8 "STANDING" "tBodyAccMag-mean()" -0.953762884074074
8 "STANDING" "tGravityAccMag-mean()" -0.953762884074074
8 "STANDING" "tBodyAccJerkMag-mean()" -0.984920797777778
8 "STANDING" "tBodyGyroMag-mean()" -0.952848496851852
8 "STANDING" "tBodyGyroJerkMag-mean()" -0.987580587777778
8 "STANDING" "fBodyAcc-mean()-X" -0.988219862222222
8 "STANDING" "fBodyAcc-mean()-Y" -0.9500491
8 "STANDING" "fBodyAcc-mean()-Z" -0.950362935555556
8 "STANDING" "fBodyAccJerk-mean()-X" -0.989029238518519
8 "STANDING" "fBodyAccJerk-mean()-Y" -0.976177675
8 "STANDING" "fBodyAccJerk-mean()-Z" -0.979477193333333
8 "STANDING" "fBodyGyro-mean()-X" -0.969677435925926
8 "STANDING" "fBodyGyro-mean()-Y" -0.972595487037037
8 "STANDING" "fBodyGyro-mean()-Z" -0.975512276666667
8 "STANDING" "fBodyAccMag-mean()" -0.953746070740741
8 "STANDING" "fBodyBodyAccJerkMag-mean()" -0.979745872037037
8 "STANDING" "fBodyBodyGyroMag-mean()" -0.964564224074074
8 "STANDING" "fBodyBodyGyroJerkMag-mean()" -0.983709233333333
8 "STANDING" "tBodyAcc-std()-X" -0.988815418148148
8 "STANDING" "tBodyAcc-std()-Y" -0.938479429074074
8 "STANDING" "tBodyAcc-std()-Z" -0.926065255185185
8 "STANDING" "tGravityAcc-std()-X" -0.987690217222222
8 "STANDING" "tGravityAcc-std()-Y" -0.958904114074074
8 "STANDING" "tGravityAcc-std()-Z" -0.918293913703704
8 "STANDING" "tBodyAccJerk-std()-X" -0.989198879814815
8 "STANDING" "tBodyAccJerk-std()-Y" -0.976442140740741
8 "STANDING" "tBodyAccJerk-std()-Z" -0.982610899259259
8 "STANDING" "tBodyGyro-std()-X" -0.972990379814815
8 "STANDING" "tBodyGyro-std()-Y" -0.969421045555556
8 "STANDING" "tBodyGyro-std()-Z" -0.974118322407407
8 "STANDING" "tBodyGyroJerk-std()-X" -0.981573085740741
8 "STANDING" "tBodyGyroJerk-std()-Y" -0.985508765185185
8 "STANDING" "tBodyGyroJerk-std()-Z" -0.989270900740741
8 "STANDING" "tBodyAccMag-std()" -0.937187185222222
8 "STANDING" "tGravityAccMag-std()" -0.937187185222222
8 "STANDING" "tBodyAccJerkMag-std()" -0.979932239074074
8 "STANDING" "tBodyGyroMag-std()" -0.95322478962963
8 "STANDING" "tBodyGyroJerkMag-std()" -0.982460332222222
8 "STANDING" "fBodyAcc-std()-X" -0.98918374962963
8 "STANDING" "fBodyAcc-std()-Y" -0.936231722777778
8 "STANDING" "fBodyAcc-std()-Z" -0.919744963888889
8 "STANDING" "fBodyAccJerk-std()-X" -0.990414086851852
8 "STANDING" "fBodyAccJerk-std()-Y" -0.97858173
8 "STANDING" "fBodyAccJerk-std()-Z" -0.984465744444444
8 "STANDING" "fBodyGyro-std()-X" -0.974200997592593
8 "STANDING" "fBodyGyro-std()-Y" -0.968055495925926
8 "STANDING" "fBodyGyro-std()-Z" -0.975976456111111
8 "STANDING" "fBodyAccMag-std()" -0.938628186322222
8 "STANDING" "fBodyBodyAccJerkMag-std()" -0.979135440925926
8 "STANDING" "fBodyBodyGyroMag-std()" -0.954119826296296
8 "STANDING" "fBodyBodyGyroJerkMag-std()" -0.981832336296296
11 "STANDING" "tBodyAcc-mean()-X" 0.277715562765957
11 "STANDING" "tBodyAcc-mean()-Y" -0.0171990886595745
11 "STANDING" "tBodyAcc-mean()-Z" -0.108686630425532
11 "STANDING" "tGravityAcc-mean()-X" 0.956464535957447
11 "STANDING" "tGravityAcc-mean()-Y" -0.173082704680851
11 "STANDING" "tGravityAcc-mean()-Z" 0.127198423404255
11 "STANDING" "tBodyAccJerk-mean()-X" 0.0760097721914894
11 "STANDING" "tBodyAccJerk-mean()-Y" 0.0124130965551064
11 "STANDING" "tBodyAccJerk-mean()-Z" -0.00074591623212766
11 "STANDING" "tBodyGyro-mean()-X" -0.0293141521489362
11 "STANDING" "tBodyGyro-mean()-Y" -0.0765465041914894
11 "STANDING" "tBodyGyro-mean()-Z" 0.0810588216170213
11 "STANDING" "tBodyGyroJerk-mean()-X" -0.099519355893617
11 "STANDING" "tBodyGyroJerk-mean()-Y" -0.0395992140851064
11 "STANDING" "tBodyGyroJerk-mean()-Z" -0.0524732752340426
11 "STANDING" "tBodyAccMag-mean()" -0.984853836595745
11 "STANDING" "tGravityAccMag-mean()" -0.984853836595745
11 "STANDING" "tBodyAccJerkMag-mean()" -0.989242377234043
11 "STANDING" "tBodyGyroMag-mean()" -0.979978011489362
11 "STANDING" "tBodyGyroJerkMag-mean()" -0.993428183617021
11 "STANDING" "fBodyAcc-mean()-X" -0.993808050638298
11 "STANDING" "fBodyAcc-mean()-Y" -0.968703072553191
11 "STANDING" "fBodyAcc-mean()-Z" -0.987669785531915
11 "STANDING" "fBodyAccJerk-mean()-X" -0.992385450851064
